DATE,T2M_MAX,YEAR,HEATWAVE,CITY,POPULATION
15-02-2003,29.51,2003,False,Kolkata,4557639
16-02-2003,29.66,2003,False,Kolkata,4557639
17-02-2003,30.35,2003,False,Kolkata,4557639
18-02-2003,32.06,2003,False,Kolkata,4557639
19-02-2003,31.53,2003,False,Kolkata,4557639
20-02-2003,31.58,2003,False,Kolkata,4557639
21-02-2003,30.82,2003,False,Kolkata,4557639
22-02-2003,29.89,2003,False,Kolkata,4557639
23-02-2003,30.31,2003,False,Kolkata,4557639
24-02-2003,31.26,2003,False,Kolkata,4557639
25-02-2003,32.79,2003,False,Kolkata,4557639
26-02-2003,32.84,2003,False,Kolkata,4557639
27-02-2003,33.83,2003,False,Kolkata,4557639
28-02-2003,33.55,2003,False,Kolkata,4557639
01-03-2003,34.95,2003,False,Kolkata,4557639
02-03-2003,36.2,2003,False,Kolkata,4557639
03-03-2003,37.73,2003,False,Kolkata,4557639
04-03-2003,37.28,2003,False,Kolkata,4557639
05-03-2003,31.69,2003,False,Kolkata,4557639
06-03-2003,31.96,2003,False,Kolkata,4557639
07-03-2003,32.0,2003,False,Kolkata,4557639
08-03-2003,32.24,2003,False,Kolkata,4557639
09-03-2003,32.7,2003,False,Kolkata,4557639
10-03-2003,33.82,2003,False,Kolkata,4557639
11-03-2003,29.9,2003,False,Kolkata,4557639
12-03-2003,31.16,2003,False,Kolkata,4557639
13-03-2003,28.55,2003,False,Kolkata,4557639
14-03-2003,30.07,2003,False,Kolkata,4557639
15-03-2003,31.54,2003,False,Kolkata,4557639
16-03-2003,31.81,2003,False,Kolkata,4557639
17-03-2003,32.44,2003,False,Kolkata,4557639
18-03-2003,32.78,2003,False,Kolkata,4557639
19-03-2003,32.81,2003,False,Kolkata,4557639
20-03-2003,32.6,2003,False,Kolkata,4557639
21-03-2003,33.59,2003,False,Kolkata,4557639
22-03-2003,33.65,2003,False,Kolkata,4557639
23-03-2003,33.73,2003,False,Kolkata,4557639
24-03-2003,34.77,2003,False,Kolkata,4557639
25-03-2003,35.15,2003,False,Kolkata,4557639
26-03-2003,35.78,2003,False,Kolkata,4557639
27-03-2003,35.03,2003,False,Kolkata,4557639
